case_number,track,dnc_status,dnc_source,channel,bland_dispatched,instantly_enrolled,launched_at_utc,outcome,ghl_contact_id,error
267200212388,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:27:00.593399+00:00,ghl_staged,Sdj0OzwOhwTiawHZFJJF,
261100210171,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:27:04.287019+00:00,ghl_staged,2kSpiOsG9fyp8tISbQt4,
261100213054,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:27:06.930061+00:00,ghl_staged,S0bwameL7Cmxkciv8Xmm,
265100210110,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:27:10.105777+00:00,ghl_staged,pxvEqePghwYbBXs6ZBV5,
265100212791,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:27:13.463327+00:00,ghl_staged,IciY6ijvuFVkhF82WFrt,
265100212428,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:27:16.499400+00:00,ghl_staged,t6wAAruLNgE8LG9t1IgY,
261100212975,ng,unknown,ftc_download,ghl_only,False,False,2026-05-27T15:27:19.069072+00:00,ghl_staged,4LgWkZTmHmCeRnPFfixd,
261100226793,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:27:22.573807+00:00,ghl_staged,ocLfddUlFGFYd2RlVlgY,
267200224625,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:27:26.711397+00:00,ghl_staged,XznnjUNR4vU5mEhZPfMu,
261200222954,ng,blocked,ftc_registry,ghl_only,False,False,2026-05-27T15:27:29.624285+00:00,ghl_staged,Jc3Uu99gcDk4ZeONUyy2,
261100224801,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:27:33.102187+00:00,ghl_staged,2KVg7jPhrCbHfLGPSzhV,
267200224691,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:27:36.052669+00:00,ghl_staged,Sxp1InqheLRtrHeUPgsp,
267200226508,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:27:38.583366+00:00,ghl_staged,a6yE09SF9uxEN1HDCZiJ,
265100224517,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:27:40.968562+00:00,ghl_staged,IjtDDH8nneHovbiLsIME,
267200224765,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:27:44.322106+00:00,ghl_staged,D458nsLFwvJlO8chx7hp,
261100224658,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:27:46.648272+00:00,ghl_staged,zPN2lZqxSMDnMaNoERIy,
265100227172,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:27:49.540283+00:00,ghl_staged,SmLHOoV1PsayJD7Kt5bU,
261100226771,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:27:52.186090+00:00,ghl_staged,zP7lUmSuqWn9Tdn1OCGH,
261100224665,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:27:54.756170+00:00,ghl_staged,MhmcIMNA0hvHczbfMa7b,
261100226281,ng,unknown,searchbug,ghl_only,False,False,2026-05-27T15:27:57.927932+00:00,ghl_staged,zybwqAhJ8ANAefK1WQjG,
